,Market,Brand,Sub Brand,Category,Sub Category,Name,IS_Combo,If Combo - Size,Individual Size (gm),Price (SAR),Link,SAR/g
59,Carrefour,Nestle cereals,Nestle cereals,Breakfast Cereals & Bars,Cereals,Nestle country cornflakes bar 20 g x 8,yes,8,20.0,17.5,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/family-cereal-bars/country-corn-flake-bar-cardm-20g-x8/p/615473,
60,Carrefour,NESTLE:FITNESS,NESTLE:FITNESS,Breakfast Cereals & Bars,Cereals,Nestle fitness chocolate 375 g + 20% free,No,,375.0,23.5,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/fitness-cereals/fitness-choco-375g-20-free/p/550181,0.06133333333333333
61,Carrefour,Nestle cereals,Nestle cereals,Breakfast Cereals & Bars,Cereals,Country corn flakes value pack 1 kg,No,,1.0,35.7,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/family-cereals/country-corn-flakes-1kg/p/522894,35.0
62,Carrefour,Nesquik,Nesquik,Breakfast Cereals & Bars,Cereals,Nesquik cereals chocolate flavoured economy pack 625 g,No,,625.0,35.95,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/kids-cereals/nesquik-choco-cereal-625g/p/478547,0.056
63,Carrefour,Poppins,Poppins,Breakfast Cereals & Bars,Cereals,Poppins choco flakes chocolate 375 g,No,,375.0,20.75,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/kids-cereals/poppins-choco-flakes-375g/p/50351,0.05333333333333334
64,Carrefour,NESTLE:FITNESS,NESTLE:FITNESS,Breakfast Cereals & Bars,Cereals,Nestle fitness yoghurt with oat 350 g,No,,350.0,25.5,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/fitness-cereals/fitness-yogurt-with-oat-350g/p/654289,0.07142857142857142
65,Carrefour,Lion,Lion,Breakfast Cereals & Bars,Cereals,LION WILD CRML & CHO CEREALS 410G,No,,410.0,28.95,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/kids-cereals/lion-wild-crml-cho-cereals-410g/p/647973,0.06829268292682927
66,Carrefour,Kellogg's,Kellogg's,Breakfast Cereals & Bars,Cereals,Kellogg's coco pops chocos crunchy chocolate flavour wheat cereal375 g,No,,375.0,16.95,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/kids-cereals/kellogg-s-cocopop-chocwht-cerl-375g/p/95750,0.042666666666666665
67,Carrefour,Nature valley,Nature valley,Breakfast Cereals & Bars,Cereals,Nature valley oats coconut crunch 42 g x 6,yes,6,42.0,12.5,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/family-cereal-bars/nature-valley-coconut-crunch-42g-x6/p/568545,
68,Carrefour,Poppins,Poppins,Breakfast Cereals & Bars,Cereals,Poppins toasted corn flakes 375 g,No,,375.0,13.25,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/fitness-cereals/poppins-filck-flakes-375g/p/50337,0.034666666666666665
69,Carrefour,Nature valley,Nature valley,Breakfast Cereals & Bars,Cereals,Nature Valley Oats & Chocolate Bars 42 g,No,,42.0,3.5,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/family-cereal-bars/nature-valley-oats-choco-42g/p/478267,0.07142857142857142
70,Carrefour,Kellogg's,Kellogg's,Breakfast Cereals & Bars,Cereals,Kellogg's frosties sugar frosted flakes of corn 250 g,No,,250.0,18.95,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/kids-cereals/kellogg-s-frosties-230g/p/95741,0.072
71,Carrefour,Eggo,Eggo,Breakfast Cereals & Bars,Cereals,Kellogg's coco pops cereal bar 20 g,No,,20.0,2.15,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/kids-cereal-bars/kellogg-s-coco-pops-cereal-bar-20g/p/614648,0.1
72,Carrefour,Nestle,Nestle,Breakfast Cereals & Bars,Cereals,Nestle go free corn flakes 500g,No,,500.0,20.75,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/family-cereals/nestle-go-free-corn-flakes-500g/p/659882,0.04
73,Carrefour,Poppins,Poppins,Breakfast Cereals & Bars,Cereals,Poppins toasted corn flakes 750 g,No,,750.0,22.95,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/family-cereals/poppins-corn-flake-750g/p/50338,0.029333333333333333
74,Carrefour,NESTLE:FITNESS,NESTLE:FITNESS,Breakfast Cereals & Bars,Cereals,Fitness breakfast cereal bar with whole grain & chocolate 23.5 g x 6 pieces,yes,6,23.0,19.95,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/family-cereal-bars/fitness-cereal-bar-choco-23-5g-x6/p/561451,
75,Carrefour,Kellogg's,Kellogg's,Breakfast Cereals & Bars,Cereals,Kellogg's special k with red fruits 350 g,No,,350.0,29.95,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/fitness-cereals/kellogg-s-special-k-red-fruits-350g/p/463159,0.08285714285714285
76,Carrefour,,,Breakfast Cereals & Bars,Cereals,Kelloggs coco pops cereals 720g,No,,720.0,37.25,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/kids-cereals/kellogg-s-coco-pops-cereals-720g/p/661579,0.05138888888888889
77,Carrefour,Weetabix,Weetabix,Breakfast Cereals & Bars,Cereals,Weetabix Minis Fruit & Nut Crisps 450 g,No,,450.0,25.25,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/fitness-cereals/weetabix-minis-fruit-nut-450g/p/223106,0.05555555555555555
78,Carrefour,Poppins,Poppins,Breakfast Cereals & Bars,Cereals,Poppins frosted flakes cereal 750 g,No,,750.0,33.75,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/kids-cereals/poppins-snowies-750g/p/50360,0.044
79,Carrefour,Kellogg's,Kellogg's,Breakfast Cereals & Bars,Cereals,Kellogg's corn flakes the original 500 g,No,,500.0,19.95,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/family-cereals/kellogg-s-corn-flakes-500g/p/95739,0.038
80,Carrefour,Weetabix,Weetabix,Breakfast Cereals & Bars,Cereals,Alpen light double chocolate bars 19 g × 5,yes,5,19.0,16.95,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/family-cereal-bars/alpen-light-double-choco-bar-19g-x5/p/643300,
81,Carrefour,Poppins,Poppins,Breakfast Cereals & Bars,Cereals,Poppins toasted corn flakes 1 kg,No,,1.0,28.25,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/family-cereals/poppins-corn-flakes-toasted-1kg/p/50335,28.0
82,Carrefour,Kellogg's,Kellogg's,Breakfast Cereals & Bars,Cereals,Kelloggs all bran flakes fiber protein 375 g,No,,375.0,28.5,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/fitness-cereals/kellogg-s-all-bran-flakes-375g/p/95748,0.07466666666666667
83,Carrefour,NESTLE:FITNESS,NESTLE:FITNESS,Breakfast Cereals & Bars,Cereals,Fitness breakfast cereal bar with whole grain & crunchy caramel 23.5 g x 6 pieces,yes,6,23.0,19.95,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/family-cereal-bars/fitness-cereal-bar-crml-23-5g-x6/p/606101,
